building_a_index,building_b_index,building_b_row_number,distance_km,a_Adresse,a_oadr_strasseasse,a_oadr_plz,a_oadr_ortsteil,a_oadr_ort,a_objekttyp,a_objekttyp_fein,a_flaeche,a_baujahr,a_etagen,a_aus_klassen,a_aus_heiz_befeuerung,a_aus_heiz_system,a_zust_klassen,a_zust_modernisierungsjahr,a_energie_bedarf,a_energie_verbr_kennwert,a_lat,"a_long
",a_lon,b_id,b_position,b_construction_year,b_size_class,b_refurbishment_state,b_tabula_type,b_latitude,b_longitude
184,2699637,2699638,0.00034372,"Karl-Boehm-strasse. 112,85598,Vaterstetten,Bayern,Deutschland",Karl-Boehm-strasse. 112,85598,Baldham,Vaterstetten,Wohnung,1-Z-Whg,"38,08",2006,3,hochwertig,Gas,Zentral,normal,,70,,48.1007568,"11,78861763
",11.78861763,DE2_DEBY_LOD2_5567577,POINT(4454268.44804792 2777967.887320733),2006,MFH,2,DE.N.MFH.10.Gen.ReEx.001.002,48.10075372,11.78861718
1354,2569248,2569249,0.000985737,"Elektrastrasse. 11,81925,München,Bayern,Deutschland",Elektrastrasse. 11,81925,Denning,München,Wohnung,3-Z-Whg,98,1968,17,normal,,Zentral,gut,2017,,,48.15282275,"11,62314943
",11.62314943,DE2_DEBY_LOD2_5145175,POINT(4441818.339882537 2783469.8483101395),1968,MFH,2,DE.N.MFH.05.Gen.ReEx.001.002,48.15283115,11.62315367
3229,2202019,2202020,0.000797785,"Prinz-Karl-Weg 7,86159,Augsburg,Bayern,Deutschland",Prinz-Karl-Weg 7,86159,Hochfeld,Augsburg,Wohnung,4-Z-Whg,"108,56",2004,4,normal,,Zentral,normal,,,76,48.3539148,"10,8969152
",10.8969152,DE2_DEBY_LOD2_2562919,POINT(4387500.013855017 2804895.1921868157),2004,MFH,1,DE.N.MFH.10.Gen.ReEx.001.001,48.35391148,10.89690563
3364,2524465,2524466,8.10492E-05,"Dachauerstrasse. 287,80637,München,Bayern,Deutschland",Dachauerstrasse. 287,80637,Westfriedhof,München,Wohnung,4-Z-Whg,95,1928,5,gut,,Zentral,normal,,,128,48.1690635,"11,53346731
",11.53346731,DE2_DEBY_LOD2_4829804,POINT(4435107.161440925 2785131.0039725318),1928,MFH,2,DE.N.MFH.03.Gen.ReEx.001.002,48.16906405,11.53346659
4174,2705208,2705209,0.000652521,"Amerstorfferstrasse. 23,81549,München,Bayern,Deutschland",Amerstorfferstrasse. 23,81549,Friedhof am Perlacher Forst,München,Wohnung,3-Z-Whg,85,1954,3,normal,,Zentral,gut,2009,,125,48.09790305,"11,5896468
",11.5896468,DE2_DEBY_LOD2_5001156,POINT(4439452.454795429 2777312.758208649),1954,MFH,2,DE.N.MFH.04.Gen.ReEx.001.002,48.09790833,11.58964296
4587,2769089,2769090,0.000969224,"Budapester strasse. 7,82008,Unterhaching,Bayern,Deutschland",Budapester strasse. 7,82008,,Unterhaching,Wohnung,2-Z-Whg,54,2004,3,gut,,Zentral,gut,,,,48.0676363,"11,61333838
",11.61333838,DE2_DEBY_LOD2_5087635,POINT(4441288.701444094 2773986.691487449),2004,MFH,1,DE.N.MFH.10.Gen.ReEx.001.001,48.06763018,11.61332909
5792,2668333,2668334,0.000855719,"Wirt-strasse. 5,81539,München,Bayern,Deutschland",Wirt-strasse. 5,81539,Agfa-Gelände,München,Wohnung,3-Z-Whg,71,1969,4,gut,,,gut,,,,48.1126512,"11,5772966
",11.5772966,DE2_DEBY_LOD2_23593394,POINT(4438497.683177382 2778931.302362428),1969,MFH,2,DE.N.MFH.06.Gen.ReEx.001.002,48.11265219,11.57728517
5932,3222116,3222117,0.00024084,"Marblingstrasse. 2b,83088,Kiefersfelden,Bayern,Deutschland",Marblingstrasse. 2b,83088,Kohlstatt,Kiefersfelden,Wohnung,3-Z-Whg,72,1982,,hochwertig,Öl,Zentral,gut,2015,,174,47.616035,"12,16966864
",12.16966864,DE2_DEBY_LOD2_6502325,POINT(4484189.217693613 2724883.085326845),1982,SFH,1,DE.N.SFH.07.Gen.ReEx.001.001,47.61603301,12.16966989
8843,2416203,2416204,0.00069212,"Weidenweg 14,85464,Finsing,Bayern,Deutschland",Weidenweg 14,85464,Neufinsing,Finsing,Wohnung,3-Z-Whg,"57,35",1995,,gut,Gas,Zentral,gut,2012,,125,48.2177966,"11,8078139
",11.8078139,DE2_DEBY_LOD2_5598963,POINT(4455387.4381818045 2791007.838833901),1995,MFH,2,DE.N.MFH.09.Gen.ReEx.001.002,48.21779881,11.80780516
9149,2777399,2777400,0.000562398,"Willi Ernst Ring 4,83512,Wasserburg a.Inn,Bayern,Deutschland",Willi Ernst Ring 4,83512,Gabersee,Wasserburg a.Inn,Wohnung,3-Z-Whg,72,1992,,normal,,,normal,,,,48.062552,"12,20570702
",12.20570702,DE2_DEBY_LOD2_6620565,POINT(4485459.706463147 2774564.392346645),1992,MFH,2,DE.N.MFH.08.Gen.ReEx.001.002,48.06255602,12.2057116
